ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-11-28T11:34:51.417361700Z,9e7216,r_a87c1d3a,T0_list,success,,179,200,off
2025-11-28T11:35:07.194369400Z,9e7216,r_48937396,T1_add,success,,34,200,on
2025-11-28T11:35:31.995643800Z,9e7216,r_ed245e4d,T0_list,success,,33,200,off
2025-11-28T11:35:54.612900900Z,9e7216,r_15533f24,T3_edit,success,,7,200,on
2025-11-28T11:36:07.797992500Z,9e7216,r_d0a8eeb1,T1_add,success,,8,200,on
2025-11-28T11:36:11.768700Z,9e7216,r_3a206377,T1_add,success,,19,200,on
2025-11-28T11:36:16.099084300Z,9e7216,r_de116965,T1_add,success,,15,200,on
2025-11-28T11:36:35.603281200Z,9e7216,r_29a5f245,T4_filter,success,,10,200,on
2025-11-28T11:36:55.884921700Z,9e7216,r_7311f68f,T1_add,success,,13,200,on
2025-11-28T11:36:59.959368700Z,9e7216,r_88ca6dce,T4_filter,success,,6,200,on
2025-11-28T11:37:00.542016Z,9e7216,r_af979087,T4_filter,success,,7,200,on
2025-11-28T11:37:01.194989200Z,9e7216,r_70dad59e,T4_filter,success,,5,200,on
2025-11-28T11:37:10.304694800Z,9e7216,r_cef45691,T2_delete,success,,14,200,on
